account_id,district_id,frequency,date,Account_type,,Card_Assigned,,
1342,9,MONTHLY ISSUANCE,2022-06-28,Savings account,,SILVER,,
2069,72,MONTHLY ISSUANCE,2022-06-29,Savings account,,SILVER,,
205,1,MONTHLY ISSUANCE,2022-06-30,Savings account,,SILVER,,
1150,29,MONTHLY ISSUANCE,2022-07-01,Salary account,,SILVER,,
1608,26,MONTHLY ISSUANCE,2022-07-02,Salary account,,SILVER,,
1494,1,MONTHLY ISSUANCE,2022-07-03,NRI account,,SILVER,,
2272,48,MONTHLY ISSUANCE,2022-07-04,Savings account,,SILVER,,
2634,45,MONTHLY ISSUANCE,2022-07-05,Savings account,,SILVER,,
4143,55,MONTHLY ISSUANCE,2022-07-06,Salary account,,SILVER,,
2133,11,MONTHLY ISSUANCE,2022-07-07,Salary account,,SILVER,,
3342,59,MONTHLY ISSUANCE,2022-07-08,NRI account,,SILVER,,
2715,42,MONTHLY ISSUANCE,2022-07-09,Salary account,,SILVER,,
1596,70,MONTHLY ISSUANCE,2022-07-10,NRI account,,SILVER,,
4116,6,MONTHLY ISSUANCE,2022-07-11,NRI account,,SILVER,,
3401,38,WEEKLY ISUANCE,2022-07-12,Salary account,,DIAMOND,,
2036,70,MONTHLY ISSUANCE,2022-07-13,NRI account,,SILVER,,
6866,14,MONTHLY ISSUANCE,2022-07-14,Savings account,,SILVER,,
4132,36,MONTHLY ISSUANCE,2022-07-15,Savings account,,SILVER,,
2136,75,MONTHLY ISSUANCE,2022-07-16,Savings account,,SILVER,,
2370,51,MONTHLY ISSUANCE,2022-07-17,Savings account,,SILVER,,
1379,47,MONTHLY ISSUANCE,2022-07-18,NRI account,,SILVER,,
1313,45,MONTHLY ISSUANCE,2022-07-19,NRI account,,SILVER,,
129,74,MONTHLY ISSUANCE,2022-07-20,Savings account,,SILVER,,
2007,45,MONTHLY ISSUANCE,2022-07-21,Savings account,,SILVER,,
1064,70,MONTHLY ISSUANCE,2022-07-22,NRI account,,SILVER,,
7274,11,MONTHLY ISSUANCE,2022-07-23,NRI account,,SILVER,,
3383,29,MONTHLY ISSUANCE,2022-07-24,NRI account,,SILVER,,
2461,1,MONTHLY ISSUANCE,2022-07-25,Salary account,,SILVER,,
3916,8,MONTHLY ISSUANCE,2022-07-26,NRI account,,SILVER,,
2745,60,MONTHLY ISSUANCE,2022-07-27,NRI account,,SILVER,,
10152,34,MONTHLY ISSUANCE,2022-07-28,NRI account,,SILVER,,
2846,1,MONTHLY ISSUANCE,2022-07-29,NRI account,,SILVER,,
1443,54,MONTHLY ISSUANCE,2022-07-30,NRI account,,SILVER,,
1992,48,MONTHLY ISSUANCE,2022-07-31,NRI account,,SILVER,,
755,38,MONTHLY ISSUANCE,2022-08-01,NRI account,,SILVER,,
3106,12,WEEKLY ISUANCE,2022-08-02,Salary account,,DIAMOND,,
2312,65,MONTHLY ISSUANCE,2022-08-03,NRI account,,SILVER,,
177,1,MONTHLY ISSUANCE,2022-08-04,NRI account,,SILVER,,
4128,64,MONTHLY ISSUANCE,2022-08-05,Savings account,,SILVER,,
89,68,MONTHLY ISSUANCE,2022-08-06,NRI account,,SILVER,,
4616,1,MONTHLY ISSUANCE,2022-08-07,Salary account,,SILVER,,
3757,64,MONTHLY ISSUANCE,2022-08-08,Savings account,,SILVER,,
2942,44,MONTHLY ISSUANCE,2022-08-09,NRI account,,SILVER,,
1814,17,MONTHLY ISSUANCE,2022-08-10,NRI account,,SILVER,,
1718,71,MONTHLY ISSUANCE,2022-08-11,Salary account,,SILVER,,
16,12,MONTHLY ISSUANCE,2022-08-12,Savings account,,SILVER,,
1101,4,MONTHLY ISSUANCE,2022-08-13,Salary account,,SILVER,,
179,1,WEEKLY ISUANCE,2022-08-14,Savings account,,DIAMOND,,
3610,1,MONTHLY ISSUANCE,2022-08-15,NRI account,,SILVER,,
3463,38,MONTHLY ISSUANCE,2022-08-16,Salary account,,SILVER,,
3103,1,ISSUANCE AFTER A TRANSACTION,2022-08-17,NRI account,,GOLD,,
1876,1,MONTHLY ISSUANCE,2022-08-18,Savings account,,SILVER,,
2765,69,MONTHLY ISSUANCE,2022-08-19,NRI account,,SILVER,,
387,72,MONTHLY ISSUANCE,2022-08-20,Salary account,,SILVER,,
3300,71,MONTHLY ISSUANCE,2022-08-21,NRI account,,SILVER,,
3657,62,MONTHLY ISSUANCE,2022-08-22,NRI account,,SILVER,,
823,71,MONTHLY ISSUANCE,2022-08-23,Savings account,,SILVER,,
5283,15,MONTHLY ISSUANCE,2022-08-24,Savings account,,SILVER,,
1438,23,WEEKLY ISUANCE,2022-08-25,Salary account,,DIAMOND,,
328,1,MONTHLY ISSUANCE,2022-08-26,NRI account,,SILVER,,
118,68,MONTHLY ISSUANCE,2022-08-27,NRI account,,SILVER,,
3603,3,MONTHLY ISSUANCE,2022-08-28,Savings account,,SILVER,,
1872,61,MONTHLY ISSUANCE,2022-08-29,NRI account,,SILVER,,
3671,21,MONTHLY ISSUANCE,2022-08-30,NRI account,,SILVER,,
735,70,MONTHLY ISSUANCE,2022-08-31,NRI account,,SILVER,,
3274,76,MONTHLY ISSUANCE,2022-09-01,NRI account,,SILVER,,
5870,75,MONTHLY ISSUANCE,2022-09-02,Salary account,,SILVER,,
1946,46,MONTHLY ISSUANCE,2022-09-03,Savings account,,SILVER,,
402,68,MONTHLY ISSUANCE,2022-09-04,Salary account,,SILVER,,
9156,18,MONTHLY ISSUANCE,2022-09-05,Savings account,,SILVER,,
3987,25,MONTHLY ISSUANCE,2022-09-06,Salary account,,SILVER,,
3852,20,MONTHLY ISSUANCE,2022-09-07,NRI account,,SILVER,,
384,24,WEEKLY ISUANCE,2022-09-08,NRI account,,DIAMOND,,
677,70,MONTHLY ISSUANCE,2022-09-09,NRI account,,SILVER,,
6505,7,MONTHLY ISSUANCE,2022-09-10,Savings account,,SILVER,,
1240,1,MONTHLY ISSUANCE,2022-09-11,NRI account,,SILVER,,
1783,70,MONTHLY ISSUANCE,2022-09-12,Salary account,,SILVER,,
7156,71,MONTHLY ISSUANCE,2022-09-13,NRI account,,SILVER,,
1085,42,MONTHLY ISSUANCE,2022-09-14,NRI account,,SILVER,,
2684,7,MONTHLY ISSUANCE,2022-09-15,Salary account,,SILVER,,
2459,55,MONTHLY ISSUANCE,2022-09-16,Savings account,,SILVER,,
2997,40,MONTHLY ISSUANCE,2022-09-17,Salary account,,SILVER,,
10650,76,MONTHLY ISSUANCE,2022-09-18,NRI account,,SILVER,,
1303,23,MONTHLY ISSUANCE,2022-09-19,Salary account,,SILVER,,
783,1,MONTHLY ISSUANCE,2022-09-20,NRI account,,SILVER,,
1729,53,MONTHLY ISSUANCE,2022-09-21,NRI account,,SILVER,,
1790,70,MONTHLY ISSUANCE,2022-09-22,NRI account,,SILVER,,
2351,74,MONTHLY ISSUANCE,2022-09-23,Savings account,,SILVER,,
2480,35,MONTHLY ISSUANCE,2022-09-24,NRI account,,SILVER,,
2444,76,MONTHLY ISSUANCE,2022-09-25,Savings account,,SILVER,,
3516,36,WEEKLY ISUANCE,2022-09-26,Savings account,,DIAMOND,,
178,59,MONTHLY ISSUANCE,2022-09-27,Salary account,,SILVER,,
2079,55,MONTHLY ISSUANCE,2022-09-28,NRI account,,SILVER,,
3444,53,WEEKLY ISUANCE,2022-09-29,Salary account,,DIAMOND,,
1764,68,MONTHLY ISSUANCE,2022-09-30,Savings account,,SILVER,,
4158,27,MONTHLY ISSUANCE,2022-10-01,Salary account,,SILVER,,
585,4,MONTHLY ISSUANCE,2022-10-02,NRI account,,SILVER,,
5698,1,MONTHLY ISSUANCE,2022-10-03,NRI account,,SILVER,,
10243,44,MONTHLY ISSUANCE,2022-10-04,NRI account,,SILVER,,
1026,20,MONTHLY ISSUANCE,2022-10-05,Salary account,,SILVER,,
45,64,MONTHLY ISSUANCE,2022-10-06,Salary account,,SILVER,,
2172,1,MONTHLY ISSUANCE,2022-10-07,Salary account,,SILVER,,
909,30,MONTHLY ISSUANCE,2022-10-08,NRI account,,SILVER,,
3950,48,MONTHLY ISSUANCE,2022-10-09,Salary account,,SILVER,,
2142,42,MONTHLY ISSUANCE,2022-10-10,Salary account,,SILVER,,
2492,73,MONTHLY ISSUANCE,2022-10-11,Savings account,,SILVER,,
3901,12,MONTHLY ISSUANCE,2022-10-12,NRI account,,SILVER,,
2422,27,MONTHLY ISSUANCE,2022-10-13,Savings account,,SILVER,,
3556,58,MONTHLY ISSUANCE,2022-10-14,Salary account,,SILVER,,
1154,5,WEEKLY ISUANCE,2022-10-15,Savings account,,DIAMOND,,
2317,68,MONTHLY ISSUANCE,2022-10-16,Savings account,,SILVER,,
3828,44,MONTHLY ISSUANCE,2022-10-17,Salary account,,SILVER,,
3798,15,MONTHLY ISSUANCE,2022-10-18,Salary account,,SILVER,,
859,13,MONTHLY ISSUANCE,2022-10-19,NRI account,,SILVER,,
2394,62,MONTHLY ISSUANCE,2022-10-20,Savings account,,SILVER,,
8639,46,MONTHLY ISSUANCE,2022-10-21,Salary account,,SILVER,,
4003,25,MONTHLY ISSUANCE,2022-10-22,Salary account,,SILVER,,
3537,45,MONTHLY ISSUANCE,2022-10-23,Salary account,,SILVER,,
3070,56,MONTHLY ISSUANCE,2022-10-24,Salary account,,SILVER,,
645,70,MONTHLY ISSUANCE,2022-10-25,Savings account,,SILVER,,
1795,53,MONTHLY ISSUANCE,2022-10-26,Savings account,,SILVER,,
2442,14,MONTHLY ISSUANCE,2022-10-27,NRI account,,SILVER,,
2845,62,MONTHLY ISSUANCE,2022-10-28,Salary account,,SILVER,,
1845,47,MONTHLY ISSUANCE,2022-10-29,NRI account,,SILVER,,
1181,69,MONTHLY ISSUANCE,2022-10-30,NRI account,,SILVER,,
2607,1,MONTHLY ISSUANCE,2022-10-31,NRI account,,SILVER,,
653,27,MONTHLY ISSUANCE,2022-11-01,NRI account,,SILVER,,
10799,76,MONTHLY ISSUANCE,2022-11-02,Salary account,,SILVER,,
1567,10,MONTHLY ISSUANCE,2022-11-03,NRI account,,SILVER,,
996,47,MONTHLY ISSUANCE,2022-11-04,NRI account,,SILVER,,
37,20,MONTHLY ISSUANCE,2022-11-05,Salary account,,SILVER,,
2829,66,MONTHLY ISSUANCE,2022-11-06,Salary account,,SILVER,,
529,39,MONTHLY ISSUANCE,2022-11-07,Savings account,,SILVER,,
1857,37,MONTHLY ISSUANCE,2022-11-08,Savings account,,SILVER,,
9140,32,MONTHLY ISSUANCE,2022-11-09,Salary account,,SILVER,,
2485,41,MONTHLY ISSUANCE,2022-11-10,Salary account,,SILVER,,
1881,60,MONTHLY ISSUANCE,2022-11-11,Savings account,,SILVER,,
2595,1,MONTHLY ISSUANCE,2022-11-12,NRI account,,SILVER,,
13,76,MONTHLY ISSUANCE,2022-11-13,Salary account,,SILVER,,
1355,1,MONTHLY ISSUANCE,2022-11-14,Savings account,,SILVER,,
3062,17,MONTHLY ISSUANCE,2022-11-15,Savings account,,SILVER,,
9433,59,MONTHLY ISSUANCE,2022-11-16,Salary account,,SILVER,,
509,36,MONTHLY ISSUANCE,2022-11-17,NRI account,,SILVER,,
1747,30,MONTHLY ISSUANCE,2022-11-18,Salary account,,SILVER,,
2073,59,MONTHLY ISSUANCE,2022-11-19,Savings account,,SILVER,,
3097,66,MONTHLY ISSUANCE,2022-11-20,Savings account,,SILVER,,
792,3,MONTHLY ISSUANCE,2022-11-21,Savings account,,SILVER,,
1043,1,MONTHLY ISSUANCE,2022-11-22,NRI account,,SILVER,,
591,1,MONTHLY ISSUANCE,2022-11-23,Savings account,,SILVER,,
5572,15,MONTHLY ISSUANCE,2022-11-24,Salary account,,SILVER,,
3046,74,MONTHLY ISSUANCE,2022-11-25,Savings account,,SILVER,,
2138,75,MONTHLY ISSUANCE,2022-11-26,Salary account,,SILVER,,
1662,1,MONTHLY ISSUANCE,2022-11-27,Salary account,,SILVER,,
386,1,MONTHLY ISSUANCE,2022-11-28,Savings account,,SILVER,,
2776,23,MONTHLY ISSUANCE,2022-11-29,Savings account,,SILVER,,
785,21,WEEKLY ISUANCE,2022-11-30,Savings account,,DIAMOND,,
2338,59,MONTHLY ISSUANCE,2022-12-01,Savings account,,SILVER,,
1319,56,ISSUANCE AFTER A TRANSACTION,2022-12-02,Salary account,,GOLD,,
311,50,MONTHLY ISSUANCE,2022-12-03,NRI account,,SILVER,,
3293,1,MONTHLY ISSUANCE,2022-12-04,Salary account,,SILVER,,
1648,40,MONTHLY ISSUANCE,2022-12-05,Salary account,,SILVER,,
38,19,WEEKLY ISUANCE,2022-12-06,Salary account,,DIAMOND,,
1434,70,MONTHLY ISSUANCE,2022-12-07,Savings account,,SILVER,,
7437,19,WEEKLY ISUANCE,2022-12-08,Salary account,,DIAMOND,,
4784,46,MONTHLY ISSUANCE,2022-12-09,NRI account,,SILVER,,
2644,1,MONTHLY ISSUANCE,2022-12-10,NRI account,,SILVER,,
307,26,MONTHLY ISSUANCE,2022-12-11,Savings account,,SILVER,,
1951,23,MONTHLY ISSUANCE,2022-12-12,NRI account,,SILVER,,
4445,47,MONTHLY ISSUANCE,2022-12-13,Savings account,,SILVER,,
2000,5,MONTHLY ISSUANCE,2022-12-14,Salary account,,SILVER,,
3724,16,MONTHLY ISSUANCE,2022-12-15,Savings account,,SILVER,,
3281,1,MONTHLY ISSUANCE,2022-12-16,Savings account,,SILVER,,
326,61,MONTHLY ISSUANCE,2022-12-17,NRI account,,SILVER,,
1389,34,MONTHLY ISSUANCE,2022-12-18,Salary account,,SILVER,,
1033,32,MONTHLY ISSUANCE,2022-12-19,Savings account,,SILVER,,
2449,23,MONTHLY ISSUANCE,2022-12-20,Salary account,,SILVER,,
2927,37,MONTHLY ISSUANCE,2022-12-21,NRI account,,SILVER,,
